Nombre_Archivo;14C;10C;2C
eb0203196e284797_1674.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10027.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10031.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10025.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10011.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10013.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10009.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_22873.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_1678.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10021.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10023.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10029.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_1676.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10015.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10017.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_2033.jpg;Angiectasia;Angiectasia;Anomalia
eb0203196e284797_10019.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26325.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26327.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26323.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_22362.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_22360.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26330.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26653.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26418.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26375.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26373.jpg;Angiectasia;Angiectasia;Anomalia
d369e4f163df4aba_26492.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18239.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18329.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18380.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18402.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18384.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18424.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18382.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18235.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18386.jpg;Angiectasia;Angiectasia;Anomalia
64440803f87b4843_18404.jpg;Angiectasia;Angiectasia;Anomalia
